date,open,high,low,close,volume
2016-12-12,28.3915,28.6783,28.3825,28.5618,31040474
2016-12-13,28.5977,28.6873,28.3377,28.4542,34500439
2016-12-14,28.3377,28.6694,28.1853,28.2391,43675283
2016-12-15,28.2301,28.6425,27.9074,28.0239,43377421
2016-12-16,28.257,28.5708,28.2032,28.4632,71976180
2016-12-19,28.4721,28.6873,28.4228,28.6156,34951832
2016-12-20,28.6156,29.028,28.6066,28.9114,39818239
2016-12-21,28.8666,28.9025,28.7321,28.8038,27964665
2016-12-22,28.8219,28.8581,28.7045,28.7406,24193791
2016-12-23,28.7858,28.849,28.6955,28.7948,14988550
2016-12-27,28.8039,28.9439,28.7677,28.8129,15655879
2016-12-28,28.7587,28.8761,28.6051,28.6322,18885708
2016-12-29,28.6684,28.792,28.6322,28.6413,16092077
2016-12-30,28.569,28.7181,28.4606,28.5419,25455240
2017-01-03,28.6051,28.7542,28.3613,28.6232,32149537
2017-01-04,28.6774,28.7497,28.56,28.6322,21442858
2017-01-05,28.5148,28.6774,28.28,28.4697,25856823
2017-01-06,28.5239,28.6955,28.3251,28.551,22120800
2017-01-09,28.578,28.5961,28.3884,28.4155,21262544
2017-01-10,28.4155,28.56,28.3342,28.3342,27202526
2017-01-11,28.2168,28.4697,28.2168,28.4245,28385102
2017-01-12,28.4064,28.4245,28.1174,28.3522,29916078
2017-01-13,28.3251,28.4064,28.2258,28.3251,24323767
2017-01-17,28.1535,28.4064,28.1445,28.2439,28827307
2017-01-18,28.1897,28.3026,28.1174,28.2077,24701360
2017-01-19,28.2258,28.3071,28.0451,28.1897,37697856
2017-01-20,27.7832,27.9097,27.3677,27.5755,83552728
2017-01-23,27.5484,27.5574,26.7174,26.871,59093385
2017-01-24,26.9703,27.151,26.9342,27.0968,33686501
2017-01-25,27.4761,27.5213,27.291,27.431,38131702
2017-01-26,27.4942,27.5393,27.2142,27.3858,26767132
2017-01-27,27.458,27.4942,27.038,27.1058,30001614
2017-01-30,27.0606,27.1871,26.889,27.0606,26211790
2017-01-31,26.9613,27.0064,26.6451,26.8258,38703422
2017-02-01,26.8529,26.9251,26.6993,26.8168,25682267
2017-02-02,26.7174,26.8348,26.6451,26.8077,21709543
2017-02-03,26.9071,26.9161,26.6813,26.8258,31104310
2017-02-06,26.8077,26.871,26.7084,26.7897,23725085
2017-02-07,26.871,26.9251,26.6722,26.6993,23778270
2017-02-08,26.6542,26.6813,26.4284,26.5819,32181440
2017-02-09,26.6632,26.8258,26.609,26.7264,21665972
2017-02-10,26.8619,26.871,26.6903,26.8439,22787056
2017-02-13,26.9884,27.151,26.8529,27.1329,37020015
2017-02-14,27.2142,27.3497,27.0245,27.3497,35028334
2017-02-15,27.3587,27.4129,27.2593,27.4129,25472282
2017-02-16,27.4129,27.5213,27.3677,27.5032,25932515
2017-02-17,27.4671,27.4942,27.2774,27.431,21849428
2017-02-21,27.4671,27.6297,27.4039,27.5664,30241033
2017-02-22,27.5664,27.5935,27.3316,27.3948,30124503
2017-02-23,27.3493,27.3857,27.1763,27.3311,28947909
2017-02-24,27.1672,27.4859,27.1126,27.4859,27323723
